mode,depth,duration
sequential,1,.418231000
sequential,2,.431483000
sequential,3,.485157000
sequential,4,2.055233000
sequential,5,39.041959000
sequential,1,.476004000
sequential,2,.460222000
sequential,3,.613478000
sequential,4,4.168858000
sequential,5,95.101794000
sequential,1,.481498000
sequential,2,.455953000
sequential,3,.625856000
sequential,4,4.236258000
sequential,5,89.451955000
sequential,1,.432979000
sequential,2,.451376000
sequential,3,.614090000
sequential,4,4.272120000
sequential,5,92.814606000
sequential,1,.470433000
sequential,2,.474375000
sequential,3,.640684000
sequential,4,4.352998000
sequential,5,88.963492000
sequential,1,.442754000
sequential,2,.441137000
sequential,3,.611087000
sequential,4,3.983906000
sequential,5,89.972556000
